,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
46,Send My Love (To Your New Lover),25,Adele,2015-11-20,223078,4,0.688,0.0356,0.688,0.532,3.08e-06,0.172,-8.361,0.0875,164.068,4
47,When We Were Young,25,Adele,2015-11-20,290900,13,0.377,0.303,0.377,0.595,0.0,0.095,-5.936,0.0489,144.464,4
48,Someone Like You,21,Adele,2011-01-19,285240,13,0.554,0.893,0.554,0.321,0.0,0.0996,-8.251,0.028,135.047,4
49,Set Fire to the Rain,21,Adele,2011-01-19,242973,5,0.603,0.00408,0.603,0.67,1.66e-06,0.112,-3.882,0.0249,107.995,4
50,Apologize,Dreaming Out Loud,OneRepublic,2007-01-01,208106,68,0.593,0.363,0.593,0.74,2.22e-05,0.102,-6.12,0.0339,118.008,4
51,Onnelliseksi,Julius Kivi on hullu,Juju,2014-05-31,213013,33,0.645,0.00187,0.645,0.434,0.00226,0.124,-7.791,0.0399,100.01,4
52,I See Fire,x (Deluxe Edition),Ed Sheeran,2014-06-21,299146,0,0.641,0.638,0.641,0.176,5.14e-06,0.252,-11.692,0.0349,76.031,4
53,Chasing Cars,Eyes Open,Snow Patrol,2006-01-01,267933,76,0.563,0.209,0.563,0.592,5.08e-05,0.132,-4.571,0.0276,104.016,4
54,Say Something,Is There Anybody Out There?,A Great Big World,2014-01-20,229400,73,0.407,0.857,0.407,0.147,2.89e-06,0.0913,-8.822,0.0355,141.284,3
55,Go Hard or Go Home,Furious 7: Original Motion Picture Soundtrack,Various Artists,2015-03-17,232772,59,0.651,0.00293,0.651,0.741,1.2e-05,0.217,-5.067,0.0408,168.02,4
56,Läikkyy,Läikkyy,Arttu Lindeman,2016-06-20,206200,32,0.669,0.15,0.669,0.846,0.0,0.154,-3.976,0.156,150.014,4
57,1972,Klassikot,Anssi Kela,2012-10-01,249560,12,0.542,0.0219,0.542,0.644,0.0,0.138,-6.196,0.0961,153.972,4
58,Toxic,Greatest Hits: My Prerogative,Britney Spears,2004-11-08,198813,50,0.774,0.027,0.774,0.839,0.0166,0.252,-3.948,0.114,142.985,4
59,Älä herätä mua unesta,Versus,Mikael Gabriel,2015-05-15,204573,45,0.656,0.119,0.656,0.675,0.0,0.0925,-7.455,0.0457,126.889,4
60,Spaceman,2.0,Aste,2015-03-27,197453,40,0.737,0.017,0.737,0.95,0.0,0.233,-2.522,0.0611,127.0,4
61,Only One,2.0,Aste,2015-03-27,240280,31,0.578,0.000649,0.578,0.839,0.0,0.0708,-3.806,0.0755,121.995,4
62,Come & Get It,Stars Dance,Selena Gomez,2013-01-01,231986,0,0.349,0.0102,0.349,0.795,0.000138,0.0812,-4.133,0.0758,148.985,1
63,Wherever I Go,Wherever I Go,OneRepublic,2016-05-13,170213,0,0.543,0.107,0.543,0.691,0.0,0.218,-6.403,0.0425,100.014,4
64,Heatwave (feat. Akon),Sugar,Robin Schulz,2015-09-25,187126,59,0.702,0.196,0.702,0.82,0.0,0.156,-4.323,0.063,107.936,4
65,Hubba Bubba,Hubba Bubba,Teflon Brothers,2016-05-30,207394,0,0.68,0.000755,0.68,0.847,0.0,0.159,-6.439,0.0353,136.039,4
66,I'm In Control,I'm In Control,AlunaGeorge,2016-01-21,209425,0,0.734,0.355,0.734,0.847,0.000144,0.154,-3.713,0.0346,104.013,4
67,Arcade - Radio Edit,Arcade (Radio Edit),Dimitri Vegas & Like Mike,2016-03-11,225000,31,0.565,0.00923,0.565,0.957,0.69,0.293,-4.167,0.0723,127.953,4
68,She Doesn't Mind,Tomahawk Technique,Sean Paul,2012-01-24,227786,70,0.718,0.000624,0.718,0.776,5.3e-06,0.207,-5.208,0.0693,120.015,4
69,Satellites - Radio Edit,Satellites,Bobby Burns,2015-07-13,232518,0,0.535,0.0713,0.535,0.829,2.7e-05,0.146,-4.371,0.0613,127.952,4
70,Calling (Lose My Mind) - Radio Edit,Calling (Lose My Mind),Sebastian Ingrosso,2012-01-01,205440,0,0.416,0.00864,0.416,0.849,0.000138,0.204,-4.909,0.0455,125.098,4
71,I Just Had Sex,I Just Had Sex,The Lonely Island,2010-01-01,168200,0,0.621,0.0235,0.621,0.802,0.0,0.108,-4.735,0.118,167.976,4
72,Angels Unite (Radio Edit),Angels Unite,Scarlet,2012-11-09,216566,0,0.529,0.00102,0.529,0.876,1.92e-05,0.353,-5.649,0.0337,144.998,4
73,Gypsy Drop - Radio Edit,Gypsy Drop (Radio Edit),Filip Jenven,2014-03-14,180502,34,0.797,0.000359,0.797,0.962,0.767,0.0454,-4.239,0.0906,128.047,4
74,Bigroom Blitz - Radio Mix,Bigroom Blitz,Scooter,2014-05-23,187272,32,0.713,0.00303,0.713,0.909,0.000706,0.699,-4.274,0.0306,132.022,4
75,Satisfied (feat. VASSY) - Original Mix,Satisfied,Showtek,2015-06-29,258742,0,0.611,0.00326,0.611,0.941,0.0205,0.345,-1.958,0.0491,128.002,4
76,Gold Skies - Original Mix,Gold Skies (Remixes),Sander van Doorn,2014-09-29,329067,0,0.564,0.00406,0.564,0.823,0.0716,0.684,-6.316,0.046,128.018,4
77,Love Louder - Style Of Eye Remix,Love Louder (Style Of Eye Remix),John Martin,2014-09-01,373649,27,0.56,0.00901,0.56,0.854,1.07e-06,0.506,-4.878,0.0669,126.001,4
78,Forbidden Voices,Forbidden Voices,Martin Garrix,2015-02-23,230634,0,0.534,0.05,0.534,0.711,0.0031,0.135,-5.927,0.0368,128.102,4
79,Salsa Tequila,Salsa Tequila,Anders Nilsen,2014-07-01,199804,0,0.661,0.131,0.661,0.906,4.1e-05,0.0743,-3.352,0.125,127.966,4
80,All I Ever Wanted - Radio Edit,All I Ever Wanted (German Maxi),Basshunter,2008-07-25,176453,46,0.645,0.164,0.645,0.984,0.00701,0.164,-7.051,0.0508,144.954,4
81,Memories (feat. Kid Cudi),Memories,David Guetta,2010-03-29,210093,45,0.561,0.0015,0.561,0.87,2.82e-06,0.246,-6.103,0.343,129.98,4
82,Trumpsta (Djuro Remix) [feat. Treyy G],Melbourne Bounce,Various Artists,2013-10-11,258507,0,0.973,0.00207,0.973,0.587,0.38,0.257,-7.014,0.242,128.0,4
83,Moonlight Shadow,Stamp!,ItaloBrothers,2011-02-04,186880,40,0.577,0.0529,0.577,0.952,0.00603,0.31,-5.172,0.0404,150.02,4
84,Colours Of The Rainbow,Stamp!,ItaloBrothers,2011-02-04,210240,34,0.616,0.00341,0.616,0.946,0.000188,0.168,-6.392,0.059,140.045,4
85,Honey,Honey,Evelina,2015-12-09,221633,0,0.68,0.0773,0.68,0.633,1.57e-06,0.183,-5.236,0.0344,149.922,4
86,Pämppää,Pämppää,Teflon Brothers,2015-04-27,191990,37,0.8,0.113,0.8,0.887,0.0,0.154,-5.038,0.0632,109.988,4
87,Viva La Vida,Viva La Vida or Death and All His Friends,Coldplay,2008-05-26,242373,78,0.486,0.0954,0.486,0.617,3.23e-06,0.109,-7.115,0.0287,138.015,4
88,If I Lose Myself,Native,OneRepublic,2014-01-01,241560,52,0.485,0.096,0.485,0.699,0.0,0.109,-6.017,0.0479,140.096,4
89,In2,In2,WSTRN,2015-10-03,242121,54,0.553,0.342,0.553,0.662,0.0,0.141,-6.454,0.129,98.368,4
90,Somebody to Die For,Exile (Deluxe),Hurts,2013-03-08,275546,49,0.426,0.0198,0.426,0.599,0.00142,0.366,-7.737,0.0282,91.995,4
91,Jai Ho! (You Are My Destiny),Doll Domination - The Mini Collection,The Pussycat Dolls,2009-01-01,222413,0,0.66,0.0531,0.66,0.936,2.46e-06,0.082,-3.931,0.0624,136.19,4
92,Don't Hold Your Breath,Killer Love,Nicole Scherzinger,2011-01-01,197440,59,0.66,0.00646,0.66,0.797,0.000108,0.187,-6.096,0.0262,110.955,4
93,When I Grow Up,Doll Domination - The Mini Collection,The Pussycat Dolls,2009-01-01,245680,0,0.686,0.00185,0.686,0.681,0.0,0.395,-5.761,0.0471,118.472,4
94,I Gotta Feeling,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2009-01-01,289133,71,0.743,0.0873,0.743,0.766,0.0,0.509,-6.375,0.0265,127.96,4
95,Halo,I AM...SASHA FIERCE,Beyoncé,2008-11-17,261640,75,0.508,0.272,0.508,0.72,0.0,0.0563,-5.908,0.0628,79.983,4
96,Cry Me a River,Justified,Justin Timberlake,2002-11-04,288333,72,0.624,0.577,0.624,0.654,0.0,0.104,-6.582,0.183,73.898,4
97,"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring,2008-06-13,177826,0,0.55,0.00466,0.55,0.918,0.0,0.206,-3.159,0.0682,126.083,4
98,So What,Funhouse,P!nk,2008-10-24,215160,0,0.535,0.000304,0.535,0.887,2.23e-06,0.257,-3.106,0.0449,126.01,4
99,"Whenever, Wherever",Servicio De Lavanderia,Shakira,2001-11-12,197026,0,0.793,0.265,0.793,0.832,6.84e-06,0.207,-4.861,0.0405,107.647,4
